year,medal,medal_bucket_size,rank_start,rank_end,rank_average,percentile,first_country,last_country,country_sequence
2013,Gold,1,1,1,1,0.9965986395,Philippines,Philippines,Philippines
2013,Gold,5,2,6,4,0.9863945578,People's Republic of China,Vietnam,People's Republic of China;Indonesia;Sri Lanka;Vietnam;Vietnam
2013,Gold,3,7,9,8,0.9727891156,Malaysia,Sri Lanka,Malaysia;Sri Lanka;Sri Lanka
2013,Gold,8,10,17,13.5,0.9540816327,Bulgaria,Republic of Korea,Bulgaria;Indonesia;Philippines;Philippines;Taiwan;Thailand;Vietnam;Republic of Korea
2013,Silver,7,18,24,21,0.9285714286,People's Republic of China,Thailand,People's Republic of China;People's Republic of China;Macau;Philippines;Philippines;Taiwan;Thailand
2013,Silver,17,25,41,33,0.887755102,Bulgaria,Vietnam,Bulgaria;Bulgaria;Bulgaria;Cyprus;Hong Kong;Indonesia;Islamic Republic of Iran;Mongolia;Russian Federation;Russian Federation;Sri Lanka;Sri Lanka;Taiwan;Taiwan;Taiwan;Thailand;Vietnam
2013,Silver,26,42,67,54.5,0.8146258503,Bulgaria,Vietnam,Bulgaria;Bulgaria;Bulgaria;People's Republic of China;People's Republic of China;Hong Kong;Hong Kong;Indonesia;Indonesia;Indonesia;Indonesia;Republic of Korea;Mongolia;Philippines;Philippines;Romania;Taiwan;Taiwan;Taiwan;Taiwan;Thailand;Thailand;Thailand;Thailand;United States of America;Vietnam
2013,Bronze,20,68,87,77.5,0.7363945578,Bulgaria,Vietnam,Bulgaria;Bulgaria;Bulgaria;Bulgaria;Cyprus;Cyprus;Hong Kong;Hong Kong;Indonesia;Indonesia;Kazakhstan;Republic of Korea;Philippines;Romania;Romania;Russian Federation;Sri Lanka;Taiwan;Vietnam;Vietnam
2013,Bronze,27,88,114,101,0.656462585,Bulgaria,Republic of Korea,Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;People's Republic of China;Hong Kong;Hong Kong;Indonesia;Islamic Republic of Iran;Republic of Korea;Republic of Korea;Mongolia;Philippines;Philippines;Philippines;Russian Federation;Taiwan;Thailand;Thailand;United States of America;United States of America;Republic of Korea
2013,Merit,24,115,138,126.5,0.5697278912,Bulgaria,Thailand,Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;People's Republic of China;Hong Kong;Indonesia;Indonesia;Indonesia;Republic of Korea;Mongolia;Mongolia;Philippines;Philippines;Romania;Romania;Russian Federation;Taiwan;Taiwan;Taiwan;Thailand;Thailand
2013,Merit,34,139,172,155.5,0.4710884354,Bulgaria,Republic of Korea,Bulgaria;Bulgaria;Bulgaria;Bulgaria;People's Republic of China;People's Republic of China;People's Republic of China;People's Republic of China;Cyprus;Hong Kong;Indonesia;Indonesia;Indonesia;Islamic Republic of Iran;Islamic Republic of Iran;Islamic Republic of Iran;Kazakhstan;Kazakhstan;Macau;Mongolia;Mongolia;Mongolia;Philippines;Philippines;Romania;Russian Federation;Russian Federation;Sri Lanka;Taiwan;Thailand;United States of America;Vietnam;Bulgaria;Republic of Korea
2013,Merit,25,173,197,185,0.3707482993,Bulgaria,People's Republic of China,Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Canada;People's Republic of China;People's Republic of China;People's Republic of China;Cyprus;Hong Kong;Kazakhstan;Republic of Korea;Macau;Malaysia;Philippines;Romania;Russian Federation;South Africa;United States of America;Bulgaria;Republic of Korea;People's Republic of China
2014,Gold,2,1,2,1.5,0.9953560372,Republic of Korea,Vietnam,Republic of Korea;Vietnam
2014,Gold,5,3,7,5,0.9845201238,People's Republic of China,Vietnam,People's Republic of China;Malaysia;Taiwan;Vietnam;Vietnam
2014,Gold,6,8,13,10.5,0.9674922601,Bulgaria,Singapore,Bulgaria;Bulgaria;People's Republic of China;Mongolia;Singapore;Singapore
2014,Gold,14,14,27,20.5,0.9365325077,Bulgaria,Thailand,Bulgaria;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Indonesia;Indonesia;Malaysia;Mongolia;Singapore;Singapore;Taiwan;Thailand;Thailand
2014,Silver,23,28,50,39,0.8792569659,Bulgaria,Uzbekistan,Bulgaria;People's Republic of China;People's Republic of China;People's Republic of China;Hong Kong;Hong Kong;Indonesia;Indonesia;Indonesia;Kazakhstan;Republic of Korea;Republic of Korea;Macau;Philippines;Taiwan;Taiwan;Taiwan;Thailand;Thailand;Thailand;Thailand;Thailand;Uzbekistan
2014,Silver,20,51,70,60.5,0.8126934985,Bulgaria,Thailand,Bulgaria;People's Republic of China;People's Republic of China;People's Republic of China;People's Republic of China;Hong Kong;Hong Kong;Indonesia;Indonesia;Islamic Republic of Iran;Kazakhstan;Republic of Korea;Macau;Mongolia;Philippines;Philippines;Taiwan;Taiwan;Taiwan;Thailand
2014,Bronze,19,71,89,80,0.7523219814,People's Republic of China,Thailand,People's Republic of China;People's Republic of China;People's Republic of China;People's Republic of China;Hong Kong;Hong Kong;Indonesia;Indonesia;Kazakhstan;Republic of Korea;Republic of Korea;Republic of Korea;Malaysia;Mongolia;Philippines;Philippines;Taiwan;Thailand;Thailand
2014,Bronze,30,90,119,104.5,0.6764705882,Bulgaria,Vietnam,Bulgaria;Bulgaria;Hong Kong;Hong Kong;India;Indonesia;Indonesia;Indonesia;Indonesia;Islamic Republic of Iran;Islamic Republic of Iran;Kazakhstan;Republic of Korea;Republic of Korea;Republic of Korea;Macau;Malaysia;Mongolia;Nepal;Philippines;Philippines;Taiwan;Taiwan;Thailand;Thailand;Thailand;Vietnam;Vietnam;Vietnam;Vietnam
