year,gold,gold_buckets,silver,silver_buckets,bronze,bronze_buckets,merit,merit_buckets,awarded_total,total_participants,awarded_fraction_of_total_participants,bucket_validation
2013,17,"[1, 5, 3, 8]",50,"[7, 17, 26]",47,"[20, 27]",83,"[24, 34, 25]",197,294,0.6701,Gold:ok; Silver:ok; Bronze:ok; Merit:ok
2014,27,"[2, 5, 6, 14]",43,"[23, 20]",49,"[19, 30]",73,"[31, 28, 14]",192,323,0.5944,Gold:ok; Silver:ok; Bronze:ok; Merit:ok
2015,26,"[4, 2, 7, 13]",49,"[14, 35]",35,[35],104,"[31, 40, 33]",214,308,0.6948,Gold:ok; Silver:ok; Bronze:ok; Merit:ok
2016,13,"[2, 5, 6]",34,"[14, 20]",63,"[17, 19, 27]",86,"[24, 20, 23, 19]",196,262,0.7481,Gold:ok; Silver:ok; Bronze:ok; Merit:ok
2017,18,"[1, 3, 2, 6, 6]",47,"[7, 16, 24]",52,"[21, 31]",60,"[29, 31]",177,299,0.5920,Gold:ok; Silver:ok; Bronze:ok; Merit:ok
2018,29,"[5, 8, 16]",16,[16],65,"[37, 28]",92,"[42, 50]",202,314,0.6433,Gold:ok; Silver:ok; Bronze:ok; Merit:ok
2019,21,"[7, 14]",35,"[17, 18]",41,"[20, 21]",68,"[23, 21, 24]",165,255,0.6471,Gold:ok; Silver:ok; Bronze:ok; Merit:ok
2021,21,"[1, 4, 9, 7]",41,"[11, 11, 19]",59,"[19, 22, 18]",90,"[30, 23, 37]",211,312,0.6763,Gold:ok; Silver:ok; Bronze:ok; Merit:ok
2022,14,"[3, 5, 6]",47,"[14, 12, 21]",55,"[27, 28]",100,"[29, 41, 30]",216,288,0.7500,Gold:ok; Silver:ok; Bronze:ok; Merit:ok
2023,21,"[4, 7, 10]",45,"[22, 23]",62,"[23, 39]",110,"[15, 27, 31, 37]",238,308,0.7727,Gold:ok; Silver:ok; Bronze:ok; Merit:ok
