combined_id,name_clean,name_last_first,country_clean,contest,year,official_name,official_name_last_first,official_country,official_country_code,official_person_id,score,medal,rank_start,rank_end,rank_average,percentile,total_participants,match_method,source_url
27,Monamy Zaman,"Zaman, Monamy",Bangladesh,APMO,2024,Monamy Zaman,"Zaman, Monamy",Bangladesh,BGD,BGD:2024:7,14,Bronze,95,218,156.5,0.5591549296,355,same_country_exact,https://www.apmo-official.org/country_report/BGD/2024
32,Gustavo Santiago Torrico López,"Torrico López, Gustavo Santiago",Bolivia,APMO,2022,Gustavo Santiago Torrico López,"Torrico López, Gustavo Santiago",Bolivia,BOL,BOL:2022:5,1,None,291,305,298,0.0628930818,318,same_country_exact,https://www.apmo-official.org/country_report/BOL/2022
33,Luis André Villán Gabriel,"Villán Gabriel, Luis André",Bolivia,APMO,2022,Luis André Villán Gabriel,"Villán Gabriel, Luis André",Bolivia,BOL,BOL:2022:1,14,Bronze,153,175,164,0.4842767296,318,same_country_exact,https://www.apmo-official.org/country_report/BOL/2022
33,Luis André Villán Gabriel,"Villán Gabriel, Luis André",Bolivia,APMO,2023,Luis André Villán Gabriel,"Villán Gabriel, Luis André",Bolivia,BOL,BOL:2023:2,1,None,305,323,314,0.0898550725,345,same_country_exact,https://www.apmo-official.org/country_report/BOL/2023
33,Luis André Villán Gabriel,"Villán Gabriel, Luis André",Bolivia,APMO,2024,Luis André Villlán Gabriel,"Villlán Gabriel, Luis André",Bolivia,BOL,BOL:2024:1,14,Bronze,95,218,156.5,0.5591549296,355,reviewed_alias,https://www.apmo-official.org/country_report/BOL/2024
33,Luis André Villán Gabriel,"Villán Gabriel, Luis André",Bolivia,APMO,2025,Luis André Villán Gabriel,"Villán Gabriel, Luis André",Bolivia,BOL,BOL:2025:1,22,Silver,52,74,63,0.8119402985,335,same_country_exact,https://www.apmo-official.org/country_report/BOL/2025
33,Luis André Villán Gabriel,"Villán Gabriel, Luis André",Bolivia,APMO,2026,Luis André Villán Gabriel,"Villán Gabriel, Luis André",Bolivia,BOL,BOL:2026:1,28,Gold,17,33,25,0.9370277078,397,same_country_exact,https://www.apmo-official.org/country_report/BOL/2026
136,Angel Antonov Hristov,"Hristov, Angel Antonov",Bulgaria,APMO,2025,Angel Hristov,"Hristov, Angel",Bulgaria,BGR,BGR:2025:1,28,Gold,18,27,22.5,0.9328358209,335,same_country_exact,https://www.apmo-official.org/country_report/BGR/2025
139,Marin Hristov Hristov,"Hristov, Marin Hristov",Bulgaria,APMO,2023,Marin Hristov,"Hristov, Marin",Bulgaria,BGR,BGR:2023:1,23,Gold,38,50,44,0.8724637681,345,same_country_exact,https://www.apmo-official.org/country_report/BGR/2023
208,Vesselin Markovich,"Markovich, Vesselin",Bulgaria,APMO,2023,Vesselin Markovich,"Markovich, Vesselin",Bulgaria,BGR,BGR:2023:5,14,Bronze,121,137,129,0.6260869565,345,same_country_exact,https://www.apmo-official.org/country_report/BGR/2023
295,Milen Milenov Shumanov,"Shumanov, Milen Milenov",Bulgaria,APMO,2023,Milen Shumanov,"Shumanov, Milen",Bulgaria,BGR,BGR:2023:4,15,Bronze,112,120,116,0.6637681159,345,same_country_exact,https://www.apmo-official.org/country_report/BGR/2023
309,Alexander Rossen Stefanov,"Stefanov, Alexander Rossen",Bulgaria,APMO,2026,Alexandar Stefanov,"Stefanov, Alexandar",Bulgaria,BGR,BGR:2026:9,8,Honourable Mention,252,272,262,0.3400503778,397,reviewed_alias,https://www.apmo-official.org/country_report/BGR/2026
382,Caleb Ji,"Ji, Caleb",Canada,APMO,2016,Caleb Ji,"Ji, Caleb",Canada,CAN,CAN:2016:3,22,Silver,54,60,57,0.8272727273,330,same_country_exact,https://www.apmo-official.org/country_report/CAN/2016
383,Richard Kang,"Kang, Richard",Canada,APMO,2018,Kang Richard,"Richard, Kang",Canada,CAN,CAN:2018:9,18,Honourable Mention,92,104,98,0.7215909091,352,same_country_exact,https://www.apmo-official.org/country_report/CAN/2018
