contest,year,source_url,expected_participants,parsed_participants,matched_appearances,matched_unique_combined_ids,official_rank_checks,official_rank_mismatches,official_award_checks,official_award_mismatches,problem_score_total_mismatches,status
APMO,2016,https://www.apmo-official.org/year_report/2016,330,330,60,60,0,0,330,0,0,pass
APMO,2017,https://www.apmo-official.org/year_report/2017,353,353,58,58,0,0,353,0,0,pass
APMO,2018,https://www.apmo-official.org/year_report/2018,352,352,64,64,0,0,352,0,1,pass_with_source_anomaly
APMO,2019,https://www.apmo-official.org/year_report/2019,359,359,69,69,0,0,359,0,0,pass
APMO,2020,https://www.apmo-official.org/year_report/2020,337,337,51,51,0,0,337,0,0,pass
APMO,2021,https://www.apmo-official.org/year_report/2021,344,344,54,54,0,0,344,0,0,pass
APMO,2022,https://www.apmo-official.org/year_report/2022,318,318,52,52,0,0,318,0,0,pass
APMO,2023,https://www.apmo-official.org/year_report/2023,345,345,56,56,0,0,345,0,0,pass
APMO,2024,https://www.apmo-official.org/year_report/2024,355,355,57,57,0,0,355,0,0,pass
APMO,2025,https://www.apmo-official.org/year_report/2025,335,335,58,58,0,0,335,0,0,pass
APMO,2026,https://www.apmo-official.org/year_report/2026,397,397,55,55,0,0,397,0,1,pass_preliminary_source_with_anomaly
IMO,2013,https://www.imo-official.org/results/individual/year/2013/,527,527,5,5,527,0,0,0,0,pass
IMO,2014,https://www.imo-official.org/results/individual/year/2014/,560,560,19,19,560,8,0,0,0,pass_with_source_anomaly
IMO,2015,https://www.imo-official.org/results/individual/year/2015/,577,577,35,35,577,0,0,0,0,pass
IMO,2016,https://www.imo-official.org/results/individual/year/2016/,602,602,62,62,602,0,0,0,0,pass
IMO,2017,https://www.imo-official.org/results/individual/year/2017/,615,615,68,68,615,0,0,0,0,pass
IMO,2018,https://www.imo-official.org/results/individual/year/2018/,594,594,70,70,594,0,0,0,0,pass
IMO,2019,https://www.imo-official.org/results/individual/year/2019/,621,621,65,65,621,0,0,0,0,pass
IMO,2020,https://www.imo-official.org/results/individual/year/2020/,616,616,66,66,616,0,0,0,0,pass
IMO,2021,https://www.imo-official.org/results/individual/year/2021/,619,619,64,64,619,0,0,0,0,pass
IMO,2022,https://www.imo-official.org/results/individual/year/2022/,589,589,57,57,589,0,0,0,0,pass
IMO,2023,https://www.imo-official.org/results/individual/year/2023/,618,618,57,57,618,0,0,0,0,pass
IMO,2024,https://www.imo-official.org/results/individual/year/2024/,609,609,64,64,609,0,0,0,0,pass
IMO,2025,https://www.imo-official.org/results/individual/year/2025/,630,630,55,55,630,0,0,0,0,pass
IMO,2026,https://www.imo-official.org/results/individual/year/2026/,666,666,55,55,666,0,0,0,0,pass
