combined_id,name_clean,name_last_first,country_clean,contest,year,official_name,official_name_last_first,official_country,official_country_code,official_person_id,score,medal,rank_start,rank_end,rank_average,percentile,total_participants,match_method,source_url
15,Tahsin Khan,"Khan, Tahsin",Bangladesh,IMO,2024,Tahsin Khan,"Khan, Tahsin",Bangladesh,BGD,34363,9,Honourable Mention,457,474,465.5,0.2356321839,609,same_country_exact,https://www.imo-official.org/results/individual/year/2024/
15,Tahsin Khan,"Khan, Tahsin",Bangladesh,IMO,2025,Tahsin Khan,"Khan, Tahsin",Bangladesh,BGD,34363,21,Bronze,272,290,281,0.553968254,630,same_country_exact,https://www.imo-official.org/results/individual/year/2025/
15,Tahsin Khan,"Khan, Tahsin",Bangladesh,IMO,2026,Tahsin Khan,"Khan, Tahsin",Bangladesh,BGD,34363,22,Bronze,161,204,182.5,0.725975976,666,same_country_exact,https://www.imo-official.org/results/individual/year/2026/
27,Monamy Zaman,"Zaman, Monamy",Bangladesh,IMO,2024,Monamy Zaman,"Zaman, Monamy",Bangladesh,BGD,34361,20,Bronze,216,226,221,0.6371100164,609,same_country_exact,https://www.imo-official.org/results/individual/year/2024/
27,Monamy Zaman,"Zaman, Monamy",Bangladesh,IMO,2025,Monamy Zaman,"Zaman, Monamy",Bangladesh,BGD,34361,15,Honourable Mention,366,387,376.5,0.4023809524,630,same_country_exact,https://www.imo-official.org/results/individual/year/2025/
27,Monamy Zaman,"Zaman, Monamy",Bangladesh,IMO,2026,Monamy Zaman,"Zaman, Monamy",Bangladesh,BGD,34361,19,Bronze,247,262,254.5,0.6178678679,666,same_country_exact,https://www.imo-official.org/results/individual/year/2026/
33,Luis André Villán Gabriel,"Villán Gabriel, Luis André",Bolivia,IMO,2021,Luis André Villán Gabriel,"Villán Gabriel, Luis André",Bolivia,BOL,31175,0,None,533,619,576,0.0694668821,619,same_country_exact,https://www.imo-official.org/results/individual/year/2021/
33,Luis André Villán Gabriel,"Villán Gabriel, Luis André",Bolivia,IMO,2022,Luis André Villan Gabriel,"Villan Gabriel, Luis André",Bolivia,BOL,31175,11,Honourable Mention,445,457,451,0.234295416,589,same_country_exact,https://www.imo-official.org/results/individual/year/2022/
33,Luis André Villán Gabriel,"Villán Gabriel, Luis André",Bolivia,IMO,2023,Luis André Villan Gabriel,"Villan Gabriel, Luis André",Bolivia,BOL,31175,15,Honourable Mention,366,384,375,0.3932038835,618,same_country_exact,https://www.imo-official.org/results/individual/year/2023/
33,Luis André Villán Gabriel,"Villán Gabriel, Luis André",Bolivia,IMO,2024,Luis André Villan Gabriel,"Villan Gabriel, Luis André",Bolivia,BOL,31175,17,Bronze,252,282,267,0.5615763547,609,same_country_exact,https://www.imo-official.org/results/individual/year/2024/
