year,medal,medal_bucket_size,rank_start,rank_end,rank_average,percentile,first_country,last_country,country_sequence
2013,Gold,1,1,1,1,0.9965986395,Hong Kong,Hong Kong,Hong Kong
2013,Gold,4,2,5,3.5,0.9880952381,People's Republic of China,Taiwan,People's Republic of China;Japan;Philippines;Taiwan
2013,Gold,5,6,10,8,0.9727891156,Hong Kong,Thailand,Hong Kong;Japan;Taiwan;Thailand;Thailand
2013,Gold,5,11,15,13,0.9557823129,People's Republic of China,Taiwan,People's Republic of China;People's Republic of China;Indonesia;Taiwan;Taiwan
2013,Gold,8,16,23,19.5,0.9336734694,People's Republic of China,Thailand,People's Republic of China;People's Republic of China;Indonesia;Philippines;Taiwan;Taiwan;Taiwan;Thailand
2013,Silver,13,24,36,30,0.8979591837,Bulgaria,Thailand,Bulgaria;Canada;People's Republic of China;People's Republic of China;People's Republic of China;Hong Kong;Japan;Macau;Philippines;Romania;Taiwan;Thailand;Thailand
2013,Silver,1,37,37,37,0.8741496599,Islamic Republic of Iran,Islamic Republic of Iran,Islamic Republic of Iran
2013,Silver,8,38,45,41.5,0.8588435374,Bulgaria,Thailand,Bulgaria;Cyprus;Indonesia;Macau;Mexico;Philippines;Taiwan;Thailand
2013,Silver,1,46,46,46,0.843537415,Mongolia,Mongolia,Mongolia
2013,Silver,13,47,59,53,0.8197278912,Bulgaria,Taiwan,Bulgaria;Bulgaria;Bulgaria;Bulgaria;People's Republic of China;People's Republic of China;Islamic Republic of Iran;Islamic Republic of Iran;Japan;Macau;Mongolia;Philippines;Taiwan
2013,Bronze,13,60,72,66,0.7755102041,Bulgaria,Thailand,Bulgaria;People's Republic of China;Hong Kong;Indonesia;Islamic Republic of Iran;Islamic Republic of Iran;Mongolia;Philippines;Philippines;Philippines;Romania;Sri Lanka;Thailand
2013,Bronze,3,73,75,74,0.7482993197,Bulgaria,Vietnam,Bulgaria;Macau;Vietnam
2013,Bronze,1,76,76,76,0.7414965986,Islamic Republic of Iran,Islamic Republic of Iran,Islamic Republic of Iran
2013,Bronze,15,77,91,84,0.7142857143,Bulgaria,United States of America,Bulgaria;People's Republic of China;Indonesia;Mongolia;Philippines;Russian Federation;Sri Lanka;Taiwan;Taiwan;Taiwan;Taiwan;Thailand;Thailand;Thailand;United States of America
2013,Bronze,1,92,92,92,0.6870748299,Thailand,Thailand,Thailand
2013,Bronze,14,93,106,99.5,0.6615646259,Bulgaria,Vietnam,Bulgaria;People's Republic of China;Indonesia;Indonesia;Indonesia;Islamic Republic of Iran;Macau;Philippines;Philippines;Romania;Taiwan;Thailand;Thailand;Vietnam
2013,Bronze,16,107,122,114.5,0.6105442177,Bulgaria,Vietnam,Bulgaria;Bulgaria;Bulgaria;Bulgaria;Canada;People's Republic of China;Indonesia;Indonesia;Macau;Macau;Macau;Macau;Mexico;Sri Lanka;Thailand;Vietnam
2013,Merit,11,123,133,128,0.5646258503,Bulgaria,United States of America,Bulgaria;Bulgaria;Indonesia;Indonesia;Macau;Mexico;Mexico;Philippines;Russian Federation;Taiwan;United States of America
2013,Merit,1,134,134,134,0.5442176871,Bulgaria,Bulgaria,Bulgaria
2013,Merit,2,135,136,135.5,0.5391156463,Bulgaria,Mongolia,Bulgaria;Mongolia
2013,Merit,13,137,149,143,0.5136054422,Bulgaria,Thailand,Bulgaria;Bulgaria;Indonesia;Indonesia;Republic of Korea;Macau;Macau;Malaysia;Philippines;Romania;Sri Lanka;Thailand;Thailand
2013,Merit,4,150,153,151.5,0.4846938776,Bulgaria,Macau,Bulgaria;Bulgaria;Bulgaria;Macau
2013,Merit,12,154,165,159.5,0.4574829932,Bulgaria,Vietnam,Bulgaria;Bulgaria;Bulgaria;Bulgaria;Cyprus;Mexico;Mongolia;Philippines;South Africa;Sri Lanka;United States of America;Vietnam
2013,Merit,2,166,167,166.5,0.4336734694,Bulgaria,South Africa,Bulgaria;South Africa
2013,Merit,1,168,168,168,0.4285714286,Bulgaria,Bulgaria,Bulgaria
2013,Merit,16,169,184,176.5,0.3996598639,Bangladesh,Vietnam,Bangladesh;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Canada;Cyprus;Cyprus;Macau;Malaysia;Malaysia;Mexico;Nepal;Netherlands;Russian Federation;Vietnam
2013,Merit,1,185,185,185,0.3707482993,Islamic Republic of Iran,Islamic Republic of Iran,Islamic Republic of Iran
