year,gold,gold_buckets,silver,silver_buckets,bronze,bronze_buckets,merit,merit_buckets,awarded_total,total_participants,awarded_fraction_of_total_participants,bucket_validation
2013,23,"[1, 4, 5, 5, 8]",36,"[13, 1, 8, 1, 13]",63,"[13, 3, 1, 15, 1, 14, 16]",74,"[11, 1, 2, 13, 4, 12, 2, 1, 16, 1, 9, 2]",196,294,0.6667,auto-inferred from official order resets
2014,22,"[2, 3, 2, 2, 5, 2, 6]",40,"[5, 2, 1, 2, 2, 6, 10, 3, 9]",60,"[2, 7, 13, 2, 8, 3, 9, 1, 7, 7, 1]",87,"[2, 9, 15, 5, 3, 8, 1, 9, 6, 7, 1, 4, 8, 9]",209,314,0.6656,auto-inferred from official order resets
2015,23,"[1, 3, 1, 1, 2, 1, 3, 1, 6, 4]",41,"[2, 2, 1, 2, 4, 1, 1, 2, 5, 2, 2, 1, 3, 1, 3, 1, 2, 4, 2]",59,"[5, 2, 2, 3, 2, 3, 1, 3, 3, 4, 2, 2, 2, 4, 2, 2, 3, 2, 4, 2, 4, 2]",86,"[2, 3, 3, 5, 3, 4, 2, 2, 2, 1, 2, 6, 4, 6, 2, 2, 3, 6, 2, 3, 2, 1, 3, 6, 2, 1, 1, 5, 2]",209,314,0.6656,auto-inferred from official order resets
2016,22,"[2, 3, 4, 2, 1, 4, 6]",32,"[8, 4, 6, 14]",64,"[15, 16, 12, 8, 4, 9]",73,"[2, 14, 2, 14, 1, 19, 2, 19]",191,287,0.6655,auto-inferred from official order resets
2017,16,"[2, 8, 6]",39,"[9, 1, 7, 5, 5, 2, 4, 6]",65,"[4, 8, 3, 2, 6, 3, 2, 8, 3, 7, 1, 4, 2, 6, 4, 1, 1]",48,"[2, 1, 15, 3, 5, 2, 11, 3, 3, 1, 2]",168,252,0.6667,auto-inferred from official order resets
2018,20,"[2, 3, 3, 3, 1, 3, 2, 2, 1]",41,"[3, 4, 3, 1, 3, 3, 1, 4, 2, 1, 4, 2, 4, 2, 2, 2]",59,"[4, 2, 5, 1, 4, 3, 5, 2, 2, 5, 5, 3, 6, 8, 4]",79,"[2, 7, 3, 5, 1, 6, 6, 2, 2, 5, 7, 1, 5, 8, 4, 5, 3, 5, 1, 1]",199,299,0.6656,auto-inferred from official order resets
2019,14,"[1, 3, 2, 8]",34,"[6, 7, 11, 2, 8]",56,"[2, 12, 1, 11, 1, 5, 1, 2, 5, 2, 2, 12]",53,"[2, 6, 2, 2, 11, 10, 2, 1, 9, 1, 1, 6]",157,236,0.6653,auto-inferred from official order resets
2021,17,"[6, 2, 3, 4, 2]",39,"[2, 5, 1, 3, 3, 2, 2, 2, 3, 2, 4, 1, 5, 1, 2, 1]",58,"[6, 5, 1, 1, 2, 2, 2, 2, 4, 5, 4, 2, 2, 5, 1, 4, 5, 1, 1, 2, 1]",75,"[2, 2, 2, 4, 3, 4, 2, 2, 4, 1, 2, 3, 5, 3, 3, 2, 4, 2, 1, 5, 4, 2, 3, 1, 1, 5, 1, 2]",189,284,0.6655,auto-inferred from official order resets
2022,16,"[1, 3, 2, 1, 4, 4, 1]",40,"[6, 5, 7, 10, 12]",52,"[10, 1, 1, 15, 5, 7, 1, 1, 3, 2, 1, 5]",63,"[2, 3, 8, 5, 3, 18, 4, 1, 4, 14, 1]",171,257,0.6654,auto-inferred from official order resets
2023,20,"[6, 2, 5, 6, 1]",43,"[9, 1, 6, 3, 1, 3, 6, 6, 2, 2, 3, 1]",62,"[4, 1, 6, 4, 1, 2, 11, 2, 3, 4, 2, 6, 2, 4, 1, 6, 3]",86,"[2, 2, 2, 5, 6, 2, 3, 1, 4, 4, 1, 9, 2, 3, 13, 4, 5, 3, 2, 8, 1, 4]",211,317,0.6656,auto-inferred from official order resets
