country_clean,emic_iwymic_unique_award_recipients,later_apmo_award_recipients,emic_iwymic_to_apmo_award_percent,later_apmo_medalists,emic_iwymic_to_apmo_medal_percent,later_imo_award_recipients,emic_iwymic_to_imo_award_percent,later_imo_medalists,emic_iwymic_to_imo_medal_percent
Australia,10,0,0,0,0,0,0,0,0
Bangladesh,17,1,5.8823529412,1,5.8823529412,2,11.7647058824,2,11.7647058824
Bolivia,6,1,16.6666666667,1,16.6666666667,1,16.6666666667,1,16.6666666667
Botswana,4,0,0,0,0,1,25,0,0
Bulgaria,336,5,1.4880952381,4,1.1904761905,12,3.5714285714,11,3.2738095238
Canada,30,1,3.3333333333,0,0,0,0,0,0
Cyprus,37,0,0,0,0,14,37.8378378378,9,24.3243243243
Ghana,8,0,0,0,0,1,12.5,1,12.5
Hong Kong,142,24,16.9014084507,18,12.676056338,17,11.9718309859,14,9.8591549296
India,38,0,0,0,0,0,0,0,0
Indonesia,193,23,11.9170984456,17,8.8082901554,17,8.8082901554,15,7.7720207254
Islamic Republic of Iran,138,19,13.768115942,14,10.1449275362,16,11.5942028986,15,10.8695652174
Japan,12,7,58.3333333333,6,50,5,41.6666666667,5,41.6666666667
Kazakhstan,66,14,21.2121212121,13,19.696969697,8,12.1212121212,7,10.6060606061
Kyrgyzstan,2,2,100,2,100,2,100,2,100
Lebanon,3,0,0,0,0,0,0,0,0
Macau,128,7,5.46875,1,0.78125,29,22.65625,10,7.8125
Malaysia,67,14,20.8955223881,9,13.4328358209,8,11.9402985075,8,11.9402985075
Mexico,71,32,45.0704225352,27,38.0281690141,24,33.8028169014,21,29.5774647887
Mongolia,70,7,10,5,7.1428571429,20,28.5714285714,19,27.1428571429
Nepal,11,0,0,0,0,0,0,0,0
Netherlands,6,0,0,0,0,0,0,0,0
People's Republic of China,252,0,0,0,0,1,0.3968253968,1,0.3968253968
Peru,12,1,8.3333333333,1,8.3333333333,1,8.3333333333,1,8.3333333333
Philippines,208,29,13.9423076923,19,9.1346153846,18,8.6538461538,15,7.2115384615
Republic of Korea,101,0,0,0,0,0,0,0,0
Romania,74,0,0,0,0,0,0,0,0
Russian Federation,41,2,4.8780487805,0,0,3,7.3170731707,3,7.3170731707
Singapore,46,24,52.1739130435,21,45.652173913,17,36.9565217391,15,32.6086956522
South Africa,82,0,0,0,0,9,10.9756097561,7,8.5365853659
Sri Lanka,55,12,21.8181818182,8,14.5454545455,23,41.8181818182,8,14.5454545455
Taiwan,259,25,9.6525096525,23,8.8803088803,19,7.3359073359,19,7.3359073359
Tajikistan,57,28,49.1228070175,13,22.8070175439,19,33.3333333333,10,17.5438596491
Thailand,262,43,16.4122137405,36,13.7404580153,34,12.9770992366,31,11.8320610687
Trinidad and Tobago,1,0,0,0,0,0,0,0,0
Tunisia,2,0,0,0,0,0,0,0,0
Uganda,1,0,0,0,0,0,0,0,0
Ukraine,5,0,0,0,0,0,0,0,0
United Arab Emirates,11,0,0,0,0,1,9.0909090909,0,0
United States of America,42,0,0,0,0,1,2.380952381,1,2.380952381
Uzbekistan,55,9,16.3636363636,7,12.7272727273,20,36.3636363636,10,18.1818181818
Vietnam,151,2,1.3245033113,1,0.6622516556,8,5.298013245,8,5.298013245
