destination,outcome,model,bin,contestants,events,mean_predicted_probability,observed_rate,wilson_lower,wilson_upper
APMO,award,Baseline,1,176,5,0.02072669274935646,0.028409090909090908,0.012194241714798201,0.06477126570951297
APMO,award,Baseline,2,176,4,0.03659959572477009,0.022727272727272728,0.008872714049573686,0.05697189587382556
APMO,award,Baseline,3,175,10,0.06266762333079122,0.05714285714285714,0.03133131347979523,0.10197995190812348
APMO,award,Baseline,4,176,20,0.1014909345580783,0.11363636363636363,0.07477618512443612,0.1690027848135537
APMO,award,Baseline,5,176,43,0.25760034008908156,0.24431818181818182,0.18674294192421537,0.3128166705347485
APMO,award,Performance,1,176,2,0.0167531624590509,0.011363636363636364,0.0031218054298649232,0.040481009491710504
APMO,award,Performance,2,176,3,0.029788371358387057,0.017045454545454544,0.0058135373431719845,0.048910175079315346
APMO,award,Performance,3,175,4,0.05223328796445625,0.022857142857142857,0.008923616207532813,0.057289166500740875
APMO,award,Performance,4,176,18,0.08900527199732267,0.10227272727272728,0.06567535831529453,0.1558618166208715
APMO,award,Performance,5,176,55,0.2914294948591494,0.3125,0.24864265974509014,0.3843677227248167
APMO,medal,Baseline,1,176,3,0.015466551656850852,0.017045454545454544,0.0058135373431719845,0.048910175079315346
APMO,medal,Baseline,2,176,4,0.0282402284105932,0.022727272727272728,0.008872714049573686,0.05697189587382556
APMO,medal,Baseline,3,175,7,0.04566816198271607,0.04,0.019508588709169508,0.08025343533892669
APMO,medal,Baseline,4,176,10,0.07235242769560545,0.056818181818181816,0.03115160867372349,0.10141838625514724
APMO,medal,Baseline,5,176,35,0.17033790094061405,0.19886363636363635,0.146605932914892,0.26398649953677655
APMO,medal,Performance,1,176,1,0.012279001001414129,0.005681818181818182,0.0010036597035756045,0.03147825771708791
APMO,medal,Performance,2,176,1,0.022393939152828328,0.005681818181818182,0.0010036597035756045,0.03147825771708791
APMO,medal,Performance,3,175,5,0.0359417605353437,0.02857142857142857,0.012264270311919512,0.06513159284296167
APMO,medal,Performance,4,176,10,0.06062832180641375,0.056818181818181816,0.03115160867372349,0.10141838625514724
APMO,medal,Performance,5,176,42,0.20205458161495313,0.23863636363636365,0.18167150997272818,0.3067672049853238
IMO,award,Baseline,1,283,6,0.016325774438684885,0.02120141342756184,0.009752025854811937,0.04547566775727223
IMO,award,Baseline,2,282,12,0.034262674769275955,0.0425531914893617,0.02450690490811795,0.07289529267264007
IMO,award,Baseline,3,282,15,0.05224683240336476,0.05319148936170213,0.032496103679712035,0.08589674046893533
IMO,award,Baseline,4,282,26,0.08363334184144687,0.09219858156028368,0.06369535703466507,0.1316631911962432
IMO,award,Baseline,5,282,72,0.2048368431522538,0.2553191489361702,0.20795083547175902,0.3092642934667859
IMO,award,Performance,1,283,2,0.011117534835905805,0.007067137809187279,0.0019401677411420085,0.025397568486797036
IMO,award,Performance,2,282,9,0.02283922680582164,0.031914893617021274,0.016879502887947172,0.0595320481249215
IMO,award,Performance,3,282,12,0.043760303440059406,0.0425531914893617,0.02450690490811795,0.07289529267264007
IMO,award,Performance,4,282,30,0.09054660769545989,0.10638297872340426,0.07553953616751415,0.14780654082057998
IMO,award,Performance,5,282,78,0.2759421708420402,0.2765957446808511,0.22765445423166575,0.331541967842658
IMO,medal,Baseline,1,283,7,0.013758000009433552,0.024734982332155476,0.012032047865275654,0.05016813509284478
IMO,medal,Baseline,2,282,4,0.029001177167285157,0.014184397163120567,0.005529404867899827,0.03589773519848659
IMO,medal,Baseline,3,282,18,0.04174609155760036,0.06382978723404255,0.04075295032320113,0.09863054039333556
IMO,medal,Baseline,4,282,19,0.06339776611473807,0.0673758865248227,0.043554016675369706,0.10282635623046346
IMO,medal,Baseline,5,282,43,0.1317256971265142,0.1524822695035461,0.11521670533584513,0.19908884011310282
IMO,medal,Performance,1,283,3,0.009049550797764289,0.01060070671378092,0.003611556282109466,0.03069866929186586
IMO,medal,Performance,2,282,4,0.018702582213556578,0.014184397163120567,0.005529404867899827,0.03589773519848659
IMO,medal,Performance,3,282,8,0.03263099461656886,0.028368794326241134,0.01444341043445168,0.05497125838912053
IMO,medal,Performance,4,282,24,0.0601785500101712,0.0851063829787234,0.05785642381647349,0.1235083600358419
IMO,medal,Performance,5,282,52,0.20181863648529508,0.18439716312056736,0.14348080512896372,0.23379668002365223
