baseline_year,baseline_stage,contestants,available_follow_up_years,apmo_3y_eligible,apmo_5y_eligible,imo_3y_eligible,imo_5y_eligible
2013,EMIC,197,13,0,0,197,197
2013,IWYMIC,196,13,0,0,196,196
2014,EMIC,174,12,0,0,174,174
2014,IWYMIC,165,12,0,0,165,165
2015,EMIC,195,11,195,195,195,195
2015,IWYMIC,148,11,148,148,148,148
2016,EMIC,170,10,170,170,170,170
2016,IWYMIC,111,10,111,111,111,111
2017,EMIC,156,9,156,156,156,156
2017,IWYMIC,95,9,95,95,95,95
2018,EMIC,179,8,179,179,179,179
2018,IWYMIC,106,8,106,106,106,106
2019,EMIC,151,7,151,151,151,151
2019,IWYMIC,96,7,96,96,96,96
2021,EMIC,211,5,211,211,211,211
2021,IWYMIC,136,5,136,136,136,136
2022,EMIC,179,4,179,0,179,0
2022,IWYMIC,105,4,105,0,105,0
2023,EMIC,201,3,201,0,201,0
2023,IWYMIC,141,3,141,0,141,0
