destination,country_clean,outcome,eligible_contestants,events,event_rate,wilson_lower,wilson_upper
APMO,Australia,award,7,0,0.0,0.0,0.35433884297520657
APMO,Australia,medal,7,0,0.0,0.0,0.35433884297520657
APMO,Bangladesh,award,6,0,0.0,0.0,0.3903430336530645
APMO,Bangladesh,medal,6,0,0.0,0.0,0.3903430336530645
APMO,Bolivia,award,2,0,0.0,0.0,0.6576280471103807
APMO,Bolivia,medal,2,0,0.0,0.0,0.6576280471103807
APMO,Botswana,award,0,0,,,
APMO,Botswana,medal,0,0,,,
APMO,Bulgaria,award,164,3,0.018292682926829267,0.0062402341407821645,0.05239600383597687
APMO,Bulgaria,medal,164,3,0.018292682926829267,0.0062402341407821645,0.05239600383597687
APMO,Canada,award,18,0,0.0,0.0,0.1758845505823749
APMO,Canada,medal,18,0,0.0,0.0,0.1758845505823749
APMO,Cyprus,award,16,0,0.0,0.0,0.19361341827271994
APMO,Cyprus,medal,16,0,0.0,0.0,0.19361341827271994
APMO,Ghana,award,3,0,0.0,0.0,0.5615060804490177
APMO,Ghana,medal,3,0,0.0,0.0,0.5615060804490177
APMO,Hong Kong,award,81,11,0.13580246913580246,0.07755383801327821,0.2270325912855563
APMO,Hong Kong,medal,81,8,0.09876543209876543,0.05089950757441662,0.1829668975853163
APMO,India,award,25,0,0.0,0.0,0.13319649395317873
APMO,India,medal,25,0,0.0,0.0,0.13319649395317873
APMO,Indonesia,award,111,8,0.07207207207207207,0.03696964141610903,0.1358039876521032
APMO,Indonesia,medal,111,5,0.04504504504504504,0.01939147410855501,0.10113627890080745
APMO,Islamic Republic of Iran,award,112,11,0.09821428571428571,0.05572918231381242,0.16734784700898697
APMO,Islamic Republic of Iran,medal,112,8,0.07142857142857142,0.03663546303394121,0.1346467015770448
APMO,Japan,award,4,2,0.5,0.15003570882017148,0.8499642911798285
APMO,Japan,medal,4,2,0.5,0.15003570882017148,0.8499642911798285
APMO,Kazakhstan,award,46,8,0.17391304347826086,0.09085683568889254,0.3072363234392253
APMO,Kazakhstan,medal,46,7,0.15217391304347827,0.07572186234017478,0.28224417406315094
APMO,Kyrgyzstan,award,0,0,,,
APMO,Kyrgyzstan,medal,0,0,,,
APMO,Lebanon,award,3,0,0.0,0.0,0.5615060804490177
APMO,Lebanon,medal,3,0,0.0,0.0,0.5615060804490177
APMO,Macau,award,71,2,0.028169014084507043,0.007759100870383076,0.09701685261003423
APMO,Macau,medal,71,0,0.0,0.0,0.05132974174790491
