destination,baseline_stage,baseline_medal,later_outcome,contestants,count,percentage
APMO,EMIC,Merit,No appearance,474,440,92.82700421940929
APMO,EMIC,Merit,No award,474,6,1.2658227848101267
APMO,EMIC,Merit,Honourable Mention,474,12,2.5316455696202533
APMO,EMIC,Merit,Bronze,474,13,2.742616033755274
APMO,EMIC,Merit,Silver,474,2,0.4219409282700422
APMO,EMIC,Merit,Gold,474,1,0.2109704641350211
APMO,EMIC,Bronze,No appearance,296,273,92.22972972972973
APMO,EMIC,Bronze,No award,296,3,1.0135135135135136
APMO,EMIC,Bronze,Honourable Mention,296,10,3.3783783783783785
APMO,EMIC,Bronze,Bronze,296,7,2.364864864864865
APMO,EMIC,Bronze,Silver,296,3,1.0135135135135136
APMO,EMIC,Bronze,Gold,296,0,0.0
APMO,EMIC,Silver,No appearance,195,174,89.23076923076923
APMO,EMIC,Silver,No award,195,1,0.5128205128205128
APMO,EMIC,Silver,Honourable Mention,195,4,2.051282051282051
APMO,EMIC,Silver,Bronze,195,9,4.615384615384615
APMO,EMIC,Silver,Silver,195,3,1.5384615384615385
APMO,EMIC,Silver,Gold,195,4,2.051282051282051
APMO,EMIC,Gold,No appearance,97,78,80.41237113402062
APMO,EMIC,Gold,No award,97,1,1.0309278350515463
APMO,EMIC,Gold,Honourable Mention,97,5,5.154639175257732
APMO,EMIC,Gold,Bronze,97,7,7.216494845360825
APMO,EMIC,Gold,Silver,97,3,3.0927835051546393
APMO,EMIC,Gold,Gold,97,3,3.0927835051546393
APMO,IWYMIC,Merit,No appearance,309,292,94.49838187702265
APMO,IWYMIC,Merit,No award,309,2,0.6472491909385113
APMO,IWYMIC,Merit,Honourable Mention,309,6,1.941747572815534
APMO,IWYMIC,Merit,Bronze,309,5,1.6181229773462784
APMO,IWYMIC,Merit,Silver,309,2,0.6472491909385113
APMO,IWYMIC,Merit,Gold,309,2,0.6472491909385113
APMO,IWYMIC,Bronze,No appearance,217,183,84.33179723502305
APMO,IWYMIC,Bronze,No award,217,1,0.4608294930875576
APMO,IWYMIC,Bronze,Honourable Mention,217,4,1.8433179723502304
APMO,IWYMIC,Bronze,Bronze,217,19,8.755760368663594
APMO,IWYMIC,Bronze,Silver,217,10,4.608294930875576
APMO,IWYMIC,Bronze,Gold,217,0,0.0
APMO,IWYMIC,Silver,No appearance,114,89,78.0701754385965
APMO,IWYMIC,Silver,No award,114,0,0.0
APMO,IWYMIC,Silver,Honourable Mention,114,6,5.2631578947368425
APMO,IWYMIC,Silver,Bronze,114,9,7.894736842105263
APMO,IWYMIC,Silver,Silver,114,8,7.017543859649122
APMO,IWYMIC,Silver,Gold,114,2,1.7543859649122806
APMO,IWYMIC,Gold,No appearance,52,36,69.23076923076923
APMO,IWYMIC,Gold,No award,52,0,0.0
APMO,IWYMIC,Gold,Honourable Mention,52,0,0.0
APMO,IWYMIC,Gold,Bronze,52,8,15.384615384615385
APMO,IWYMIC,Gold,Silver,52,4,7.6923076923076925
APMO,IWYMIC,Gold,Gold,52,4,7.6923076923076925
IMO,EMIC,Merit,No appearance,629,594,94.4356120826709
IMO,EMIC,Merit,No award,629,3,0.4769475357710652
IMO,EMIC,Merit,Honourable Mention,629,15,2.384737678855326
IMO,EMIC,Merit,Bronze,629,12,1.9077901430842608
IMO,EMIC,Merit,Silver,629,4,0.6359300476947536
IMO,EMIC,Merit,Gold,629,1,0.1589825119236884
IMO,EMIC,Bronze,No appearance,387,359,92.76485788113695
IMO,EMIC,Bronze,No award,387,1,0.25839793281653745
IMO,EMIC,Bronze,Honourable Mention,387,13,3.359173126614987
IMO,EMIC,Bronze,Bronze,387,8,2.0671834625322996
IMO,EMIC,Bronze,Silver,387,3,0.7751937984496124
IMO,EMIC,Bronze,Gold,387,3,0.7751937984496124
IMO,EMIC,Silver,No appearance,280,254,90.71428571428571
IMO,EMIC,Silver,No award,280,1,0.35714285714285715
IMO,EMIC,Silver,Honourable Mention,280,7,2.5
IMO,EMIC,Silver,Bronze,280,12,4.285714285714286
IMO,EMIC,Silver,Silver,280,3,1.0714285714285714
IMO,EMIC,Silver,Gold,280,3,1.0714285714285714
IMO,EMIC,Gold,No appearance,137,102,74.45255474452554
IMO,EMIC,Gold,No award,137,1,0.7299270072992701
IMO,EMIC,Gold,Honourable Mention,137,7,5.109489051094891
IMO,EMIC,Gold,Bronze,137,13,9.489051094890511
IMO,EMIC,Gold,Silver,137,7,5.109489051094891
IMO,EMIC,Gold,Gold,137,7,5.109489051094891
IMO,IWYMIC,Merit,No appearance,453,413,91.16997792494482
IMO,IWYMIC,Merit,No award,453,8,1.7660044150110374
IMO,IWYMIC,Merit,Honourable Mention,453,12,2.6490066225165565
IMO,IWYMIC,Merit,Bronze,453,14,3.0905077262693155
IMO,IWYMIC,Merit,Silver,453,5,1.1037527593818985
IMO,IWYMIC,Merit,Gold,453,1,0.22075055187637968
IMO,IWYMIC,Bronze,No appearance,326,277,84.96932515337423
IMO,IWYMIC,Bronze,No award,326,1,0.3067484662576687
IMO,IWYMIC,Bronze,Honourable Mention,326,8,2.4539877300613497
IMO,IWYMIC,Bronze,Bronze,326,19,5.828220858895706
IMO,IWYMIC,Bronze,Silver,326,16,4.9079754601226995
IMO,IWYMIC,Bronze,Gold,326,5,1.5337423312883436
IMO,IWYMIC,Silver,No appearance,181,139,76.79558011049724
IMO,IWYMIC,Silver,No award,181,0,0.0
IMO,IWYMIC,Silver,Honourable Mention,181,7,3.867403314917127
IMO,IWYMIC,Silver,Bronze,181,5,2.7624309392265194
IMO,IWYMIC,Silver,Silver,181,19,10.497237569060774
IMO,IWYMIC,Silver,Gold,181,11,6.077348066298343
IMO,IWYMIC,Gold,No appearance,93,59,63.44086021505376
IMO,IWYMIC,Gold,No award,93,0,0.0
IMO,IWYMIC,Gold,Honourable Mention,93,2,2.150537634408602
IMO,IWYMIC,Gold,Bronze,93,5,5.376344086021505
IMO,IWYMIC,Gold,Silver,93,13,13.978494623655914
IMO,IWYMIC,Gold,Gold,93,14,15.053763440860216
