destination,baseline_stage,outcome,quintile,percentile_min,percentile_max,percentile_mean,contestants,events,event_rate,wilson_lower,wilson_upper
APMO,EMIC,award,1,0.286259542,0.4581939799,0.3924393179924884,213,15,0.07042253521126761,0.04313778930137429,0.1129282054155066
APMO,EMIC,award,2,0.4581939799,0.5812101911,0.522401967837736,212,8,0.03773584905660377,0.01924295906430653,0.07268371308786434
APMO,EMIC,award,3,0.5812101911,0.703525641,0.6492248639051887,212,15,0.07075471698113207,0.043343508450144584,0.11344554426258549
APMO,EMIC,award,4,0.703525641,0.8301282051,0.7795945900377358,212,17,0.08018867924528301,0.05066598935290643,0.124655172091412
APMO,EMIC,award,5,0.8301282051,0.9967948718,0.9200811049356807,213,31,0.14553990610328638,0.10446368029186762,0.19917547381878273
APMO,EMIC,medal,1,0.286259542,0.4581939799,0.3924393179924884,213,9,0.04225352112676056,0.0223861741682697,0.07833988577594765
APMO,EMIC,medal,2,0.4581939799,0.5812101911,0.522401967837736,212,3,0.014150943396226415,0.004823973770644724,0.04077242655255525
APMO,EMIC,medal,3,0.5812101911,0.703525641,0.6492248639051887,212,10,0.04716981132075472,0.02582028661381731,0.0846384942699419
APMO,EMIC,medal,4,0.703525641,0.8301282051,0.7795945900377358,212,9,0.04245283018867924,0.022492521373230837,0.07870020514473419
APMO,EMIC,medal,5,0.8301282051,0.9967948718,0.9200811049356807,213,24,0.11267605633802817,0.07689583427393042,0.16218006260194578
APMO,IWYMIC,award,1,0.3344481605,0.438559322,0.38550628357482014,139,4,0.02877697841726619,0.011246326421234992,0.07165389312265137
APMO,IWYMIC,award,2,0.438559322,0.5557491289,0.4894601448355072,138,9,0.06521739130434782,0.034686920773421094,0.11929893387006854
APMO,IWYMIC,award,3,0.5557491289,0.681184669,0.6168185155978261,138,16,0.11594202898550725,0.07263840593820414,0.18004909899687838
APMO,IWYMIC,award,4,0.681184669,0.8344947735,0.7529039264253623,138,24,0.17391304347826086,0.11974434024398473,0.2457450507386325
APMO,IWYMIC,award,5,0.8344947735,0.9957627119,0.9116600788366905,139,36,0.2589928057553957,0.19333979937862644,0.3376091678690101
APMO,IWYMIC,medal,1,0.3344481605,0.438559322,0.38550628357482014,139,4,0.02877697841726619,0.011246326421234992,0.07165389312265137
APMO,IWYMIC,medal,2,0.438559322,0.5557491289,0.4894601448355072,138,5,0.036231884057971016,0.015573357745511218,0.08201155387421107
APMO,IWYMIC,medal,3,0.5557491289,0.681184669,0.6168185155978261,138,11,0.07971014492753623,0.0450894755777049,0.1370968505776684
APMO,IWYMIC,medal,4,0.681184669,0.8344947735,0.7529039264253623,138,23,0.16666666666666666,0.11370157206292136,0.23768758316375405
APMO,IWYMIC,medal,5,0.8344947735,0.9957627119,0.9116600788366905,139,30,0.2158273381294964,0.15557197920756322,0.2913678478456201
IMO,EMIC,award,1,0.286259542,0.4710884354,0.40129268027700343,287,19,0.06620209059233449,0.04278787650183204,0.10107599991749726
IMO,EMIC,award,2,0.4710884354,0.5820433437,0.529204595109091,286,10,0.03496503496503497,0.019101010524284916,0.06315633279703267
IMO,EMIC,award,3,0.5820433437,0.703525641,0.6534458897421601,287,18,0.0627177700348432,0.040036369944003766,0.09695091110519967
IMO,EMIC,award,4,0.703525641,0.8301282051,0.7850711532744755,286,23,0.08041958041958042,0.05418295542353169,0.11777855734758191
IMO,EMIC,award,5,0.8301282051,0.9967948718,0.924139762079791,287,48,0.1672473867595819,0.12852703240665933,0.21475810974632017
IMO,EMIC,medal,1,0.286259542,0.4710884354,0.40129268027700343,287,12,0.041811846689895474,0.02407710072228134,0.07165060810616689
IMO,EMIC,medal,2,0.4710884354,0.5820433437,0.529204595109091,286,4,0.013986013986013986,0.005451883953186026,0.03540353500668723
IMO,EMIC,medal,3,0.5820433437,0.703525641,0.6534458897421601,287,8,0.027874564459930314,0.014190599099751473,0.05403072824819326
IMO,EMIC,medal,4,0.703525641,0.8301282051,0.7850711532744755,286,13,0.045454545454545456,0.02675321406097544,0.07620509144106428
IMO,EMIC,medal,5,0.8301282051,0.9967948718,0.924139762079791,287,39,0.13588850174216027,0.10102274767079489,0.18037303615105177
IMO,IWYMIC,award,1,0.3344481605,0.4390243902,0.38920536693175345,211,14,0.06635071090047394,0.039931318733503994,0.10827833898641617
IMO,IWYMIC,award,2,0.4390243902,0.5646258503,0.5028316465619047,210,15,0.07142857142857142,0.043760890897743834,0.11449456547744229
IMO,IWYMIC,award,3,0.5646258503,0.7022292994,0.6325521005085308,211,27,0.12796208530805686,0.0894529792385988,0.1797760713735731
IMO,IWYMIC,award,4,0.7040133779,0.8433098592,0.769760230634762,210,36,0.17142857142857143,0.12647300193779906,0.2281895146165103
IMO,IWYMIC,award,5,0.843537415,0.9965986395,0.9205355441933649,211,64,0.3033175355450237,0.24526392498648125,0.3684049361651765
IMO,IWYMIC,medal,1,0.3344481605,0.4390243902,0.38920536693175345,211,7,0.03317535545023697,0.016161116814690984,0.06688425242478592
IMO,IWYMIC,medal,2,0.4390243902,0.5646258503,0.5028316465619047,210,12,0.05714285714285714,0.03298652590839624,0.09721077901262942
IMO,IWYMIC,medal,3,0.5646258503,0.7022292994,0.6325521005085308,211,22,0.10426540284360189,0.06986795872121467,0.1528151715477835
IMO,IWYMIC,medal,4,0.7040133779,0.8433098592,0.769760230634762,210,28,0.13333333333333333,0.09388442442052289,0.18595635492269189
IMO,IWYMIC,medal,5,0.843537415,0.9965986395,0.9205355441933649,211,58,0.27488151658767773,0.21907135056552537,0.3387424061743239
