destination,performance_band,group_contestants,year_since_baseline,at_risk,events,cumulative_award_probability,lower_95,upper_95
APMO,25-50%,746,1,746,2,0.002680965147453085,0.0,0.0063916091962649135
APMO,25-50%,746,2,744,11,0.017426273458445052,0.008036145862757138,0.026816401054132966
APMO,25-50%,746,3,733,8,0.02815013404825739,0.016280796499380856,0.04001947159713393
APMO,25-50%,746,4,608,6,0.037740757725412744,0.023725589390860335,0.05175592605996515
APMO,25-50%,746,5,508,6,0.04910602436645117,0.032567028962507516,0.06564501977039483
APMO,25-50%,746,6,406,2,0.0537902311429711,0.036104411145658544,0.07147605114028366
APMO,25-50%,746,7,404,1,0.05613233453123112,0.037904267538721004,0.07436040152374124
APMO,25-50%,746,8,326,0,0.05613233453123112,0.037904267538721004,0.07436040152374124
APMO,25-50%,746,9,248,0,0.05613233453123112,0.037904267538721004,0.07436040152374124
APMO,25-50%,746,10,190,0,0.05613233453123112,0.037904267538721004,0.07436040152374124
APMO,25-50%,746,11,106,0,0.05613233453123112,0.037904267538721004,0.07436040152374124
APMO,50-75%,872,1,872,20,0.022935779816513735,0.012999675573797775,0.032871884059229695
APMO,50-75%,872,2,852,22,0.04816513761467889,0.033953470203715974,0.0623768050256418
APMO,50-75%,872,3,830,19,0.06995412844036697,0.0530241389477919,0.08688411793294204
APMO,50-75%,872,4,710,12,0.08567321359348745,0.06683754518948914,0.10450888199748576
APMO,50-75%,872,5,611,11,0.10213408863517592,0.08127627240757407,0.12299190486277778
APMO,50-75%,872,6,489,4,0.10947859506760804,0.08758471094658815,0.13137247918862793
APMO,50-75%,872,7,485,1,0.1113147216757161,0.08917217784819531,0.1334572655032369
APMO,50-75%,872,8,399,0,0.1113147216757161,0.08917217784819531,0.1334572655032369
APMO,50-75%,872,9,303,0,0.1113147216757161,0.08917217784819531,0.1334572655032369
APMO,50-75%,872,10,205,0,0.1113147216757161,0.08917217784819531,0.1334572655032369
APMO,50-75%,872,11,104,0,0.1113147216757161,0.08917217784819531,0.1334572655032369
APMO,75-100%,762,1,762,19,0.02493438320209973,0.013863180005765141,0.03600558639843432
APMO,75-100%,762,2,743,29,0.06299212598425197,0.04574195759167343,0.0802422943768305
APMO,75-100%,762,3,714,28,0.09973753280839892,0.07846141098549042,0.12101365463130742
APMO,75-100%,762,4,594,24,0.13611177390704954,0.11121081596608262,0.16101273184801645
APMO,75-100%,762,5,494,17,0.1658407209588313,0.13807449438819108,0.1936069475294715
APMO,75-100%,762,6,371,4,0.17483435199970643,0.14600254310976135,0.2036661608896515
APMO,75-100%,762,7,367,2,0.179331167520144,0.1499906291321521,0.20867170590813588
APMO,75-100%,762,8,307,1,0.1820043558995572,0.1522952583019067,0.21171345349720772
APMO,75-100%,762,9,220,0,0.1820043558995572,0.1522952583019067,0.21171345349720772
APMO,75-100%,762,10,161,0,0.1820043558995572,0.1522952583019067,0.21171345349720772
APMO,75-100%,762,11,92,0,0.1820043558995572,0.1522952583019067,0.21171345349720772
IMO,25-50%,936,1,936,5,0.005341880341880323,0.0006720388358013585,0.010011721847959287
IMO,25-50%,936,2,931,8,0.01388888888888884,0.006391417365469332,0.021386360412308347
IMO,25-50%,936,3,923,11,0.02564102564102555,0.015514852746488006,0.035767198535563094
IMO,25-50%,936,4,796,12,0.04032985440020598,0.02738758810706876,0.053272120693343195
IMO,25-50%,936,5,688,11,0.055673417774621314,0.04008196819392007,0.07126486735532256
IMO,25-50%,936,6,582,5,0.06378618909958156,0.04678417434649862,0.0807882038526645
IMO,25-50%,936,7,577,2,0.06703129762956561,0.049503452634528156,0.08455914262460307
IMO,25-50%,936,8,499,0,0.06703129762956561,0.049503452634528156,0.08455914262460307
IMO,25-50%,936,9,418,0,0.06703129762956561,0.049503452634528156,0.08455914262460307
IMO,25-50%,936,10,359,0,0.06703129762956561,0.049503452634528156,0.08455914262460307
IMO,25-50%,936,11,277,0,0.06703129762956561,0.049503452634528156,0.08455914262460307
IMO,25-50%,936,12,172,0,0.06703129762956561,0.049503452634528156,0.08455914262460307
IMO,25-50%,936,13,92,0,0.06703129762956561,0.049503452634528156,0.08455914262460307
IMO,50-75%,1136,1,1136,21,0.01848591549295775,0.010652779701033954,0.026319051284881545
IMO,50-75%,1136,2,1115,25,0.040492957746478875,0.02903042104834974,0.05195549444460801
IMO,50-75%,1136,3,1090,25,0.0625,0.048423569106831765,0.07657643089316823
IMO,50-75%,1136,4,960,22,0.083984375,0.0676160771925427,0.1003526728074573
IMO,50-75%,1136,5,849,9,0.09369478798586572,0.07631398297111602,0.11107559300061542
IMO,50-75%,1136,6,731,7,0.10237349726643874,0.08400846953009622,0.12073852500278126
IMO,50-75%,1136,7,724,4,0.10733275971248046,0.08843705642538813,0.1262284629995728
IMO,50-75%,1136,8,643,1,0.10872104468959942,0.08965981612764673,0.12778227325155211
IMO,50-75%,1136,9,546,0,0.10872104468959942,0.08965981612764673,0.12778227325155211
IMO,50-75%,1136,10,442,0,0.10872104468959942,0.08965981612764673,0.12778227325155211
IMO,50-75%,1136,11,349,0,0.10872104468959942,0.08965981612764673,0.12778227325155211
IMO,50-75%,1136,12,241,0,0.10872104468959942,0.08965981612764673,0.12778227325155211
IMO,50-75%,1136,13,137,0,0.10872104468959942,0.08965981612764673,0.12778227325155211
IMO,75-100%,1040,1,1040,32,0.03076923076923077,0.020273532970590535,0.041264928567871006
IMO,75-100%,1040,2,1008,42,0.07115384615384612,0.055529189398399126,0.08677850290929312
IMO,75-100%,1040,3,966,44,0.11346153846153839,0.0941857333552838,0.132737343567793
IMO,75-100%,1040,4,827,32,0.14776532415589239,0.12587556802459343,0.16965508028719134
IMO,75-100%,1040,5,715,20,0.171604056347336,0.14796440758015528,0.19524370511451672
IMO,75-100%,1040,6,583,7,0.18155049134831136,0.15707324382040289,0.20602773887621983
IMO,75-100%,1040,7,576,5,0.18865508777757956,0.1636106539628448,0.2136995215923143
IMO,75-100%,1040,8,509,0,0.18865508777757956,0.1636106539628448,0.2136995215923143
IMO,75-100%,1040,9,425,1,0.19056413462986754,0.16530066077043493,0.21582760848930016
IMO,75-100%,1040,10,363,0,0.19056413462986754,0.16530066077043493,0.21582760848930016
IMO,75-100%,1040,11,294,0,0.19056413462986754,0.16530066077043493,0.21582760848930016
IMO,75-100%,1040,12,207,0,0.19056413462986754,0.16530066077043493,0.21582760848930016
IMO,75-100%,1040,13,99,0,0.19056413462986754,0.16530066077043493,0.21582760848930016
