id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2585,Nathanon Akkaraphab,"Akkaraphab, Nathanon",1,2017,2017:Bronze,2017:163,2017:0.7349593496
2588,Nithid Anchaleenukoon,"Anchaleenukoon, Nithid",2,2020;2021,2020:Bronze;2021:Silver,2020:193;2021:57.5,2020:0.6866883117;2021:0.9071082391
2603,Krit Boonsiriseth,"Boonsiriseth, Krit",2,2016;2017,2016:Gold;2017:Gold,2016:14;2017:21,2016:0.976744186;2017:0.9658536585
2606,Chesphongphach Buranasilp,"Buranasilp, Chesphongphach",1,2016,2016:Silver,2016:125,2016:0.792358804
2612,Ethan Chen,"Chen, Ethan",1,2026,2026:Bronze,2026:254.5,2026:0.6178678679
2628,Siwakorn Fuangkawinsombut,"Fuangkawinsombut, Siwakorn",2,2017;2018,2017:Bronze;2018:Gold,2017:163;2018:41,2017:0.7349593496;2018:0.930976431
2631,Siravit Hengsuvanich,"Hengsuvanich, Siravit",1,2024,2024:Honourable Mention,2024:382.5,2024:0.3719211823
2639,Jirayus Jinapong,"Jinapong, Jirayus",2,2018;2019,2018:Silver;2019:Gold,2018:54.5;2019:22.5,2018:0.9082491582;2019:0.9637681159
2640,Pasit Jindanuwat,"Jindanuwat, Pasit",1,2017,2017:Gold,2017:21,2017:0.9658536585
2654,Prompt Kerdphoksup,"Kerdphoksup, Prompt",2,2020;2021,2020:Silver;2021:Silver,2020:54;2021:83.5,2020:0.9123376623;2021:0.8651050081
2656,Siraphop Khawplad,"Khawplad, Siraphop",2,2024;2025,2024:Silver;2025:Silver,2024:112;2025:133,2024:0.816091954;2025:0.7888888889
2668,Thammarak Korsakulthum,"Korsakulthum, Thammarak",1,2023,2023:Bronze,2023:268.5,2023:0.5655339806
2676,Papon Lapate,"Lapate, Papon",2,2018;2019,2018:Gold;2019:Gold,2018:15;2019:50,2018:0.9747474747;2019:0.9194847021
2689,Vorapas Meejitpaisarn,"Meejitpaisarn, Vorapas",1,2021,2021:Bronze,2021:198.5,2021:0.6793214863
2696,Krittitee Naulhao,"Naulhao, Krittitee",1,2024,2024:Silver,2024:135.5,2024:0.7775041051
2714,Patanasang Pinijpichitkul,"Pinijpichitkul, Patanasang",3,2023;2024;2025,2023:Silver;2024:Silver;2025:Gold,2023:92.5;2024:135.5;2025:49.5,2023:0.8503236246;2024:0.7775041051;2025:0.9214285714
2718,Gongphop Piyakamalanon,"Piyakamalanon, Gongphop",2,2020;2022,2020:Silver;2022:Gold,2020:99.5;2022:34.5,2020:0.838474026;2022:0.941426146
2741,Vasawat Rawangwong,"Rawangwong, Vasawat",2,2021;2022,2021:Silver;2022:Gold,2021:83.5;2022:20.5,2021:0.8651050081;2022:0.9651952462
2745,Worrawat Rungaramsin,"Rungaramsin, Worrawat",2,2022;2023,2022:Silver;2023:Silver,2022:97.5;2023:62.5,2022:0.8344651952;2023:0.8988673139
2746,Pitchayut Saengrungkongka,"Saengrungkongka, Pitchayut",2,2019;2020,2019:Gold;2020:Gold,2019:33;2020:46,2019:0.9468599034;2020:0.9253246753
2748,Paramuth Samuthrsindh,"Samuthrsindh, Paramuth",2,2019;2020,2019:Silver;2020:Gold,2019:59.5;2020:19.5,2019:0.9041867955;2020:0.9683441558
2754,Dawn Sawangsap,"Sawangsap, Dawn",2,2025;2026,2025:Silver;2026:Bronze,2025:95;2026:182.5,2025:0.8492063492;2026:0.725975976
2755,Pachara Sawettamalya,"Sawettamalya, Pachara",2,2015;2016,2015:Silver;2016:Gold,2015:128.5;2016:37.5,2015:0.7772963605;2016:0.9377076412
2759,Kiattipoom Sicharoen,"Sicharoen, Kiattipoom",3,2024;2025;2026,2024:Honourable Mention;2025:Bronze;2026:Bronze,2024:346;2025:221;2026:272.5,2024:0.4318555008;2025:0.6492063492;2026:0.5908408408
2761,Nitiwit Sirimaraisuwan,"Sirimaraisuwan, Nitiwit",1,2023,2023:Silver,2023:123,2023:0.8009708738
2769,Thana Somsirivattana,"Somsirivattana, Thana",2,2018;2019,2018:Silver;2019:Silver,2018:138.5;2019:82.5,2018:0.7668350168;2019:0.8671497585
2774,Pipitchaya Sridam,"Sridam, Pipitchaya",1,2021,2021:Gold,2021:50,2021:0.9192245557
2782,Chatchanun Suriyaammaranon,"Suriyaammaranon, Chatchanun",1,2018,2018:Silver,2018:98.5,2018:0.8341750842
2792,Kornchawan Tantivisethsak,"Tantivisethsak, Kornchawan",1,2025,2025:Honourable Mention,2025:339.5,2025:0.4611111111
2801,Natanon Therdpraisan,"Therdpraisan, Natanon",2,2019;2020,2019:Silver;2020:Silver,2019:82.5;2020:99.5,2019:0.8671497585;2020:0.838474026
2803,Sarunyu Thongjarast,"Thongjarast, Sarunyu",2,2021;2022,2021:Bronze;2022:Gold,2021:198.5;2022:34.5,2021:0.6793214863;2022:0.941426146
2819,Treetased Vividhwara,"Vividhwara, Treetased",2,2016;2017,2016:Honourable Mention;2017:Honourable Mention,2016:296;2017:365.5,2016:0.5083056478;2017:0.4056910569
2830,Aekkawin Wisitkiatchai,"Wisitkiatchai, Aekkawin",2,2024;2026,2024:Bronze;2026:Bronze,2024:267;2026:331.5,2024:0.5615763547;2026:0.5022522523
2841,Yolrada Yongpisanpob,"Yongpisanpob, Yolrada",1,2018,2018:Gold,2018:21,2018:0.9646464646
