id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
827,Mohammad Reza Aminian,"Aminian, Mohammad Reza",1,2016,2016:Silver,2016:103.5,2016:0.8280730897
842,Parnia Dabagh,"Dabagh, Parnia",1,2024,2024:Honourable Mention,2024:346,2024:0.4318555008
845,Farbod Ekbatani,"Ekbatani, Farbod",2,2015;2016,2015:Silver;2016:Bronze,2015:128.5;2016:194.5,2015:0.7772963605;2016:0.676910299
856,Faraz Ghahremany Kooreh,"Ghahremany Kooreh, Faraz",1,2019,2019:Bronze,2019:190.5,2019:0.693236715
859,Hossein Gholizadeh,"Gholizadeh, Hossein",1,2020,2020:Silver,2020:117,2020:0.8100649351
868,Arian Hosseingholizadeh,"Hosseingholizadeh, Arian",1,2014,2014:Silver,2014:143,2014:0.7446428571
888,Mahbod Majid,"Majid, Mahbod",1,2016,2016:Bronze,2016:238,2016:0.6046511628
920,Amin Rakhsha,"Rakhsha, Amin",1,2016,2016:Silver,2016:141,2016:0.7657807309
922,Ahmad Ramzan Pour,"Ramzan Pour, Ahmad",1,2018,2018:Silver,2018:98.5,2018:0.8341750842
926,Alireza Rezaeimoghadam,"Rezaeimoghadam, Alireza",1,2021,2021:Bronze,2021:278.5,2021:0.5500807754
927,Farhood Rostamkhani,"Rostamkhani, Farhood",1,2017,2017:Silver,2017:126.5,2017:0.7943089431
929,Amirmojtaba Sabour,"Sabour, Amirmojtaba",2,2016;2017,2016:Silver;2017:Gold,2016:141;2017:2,2016:0.7657807309;2017:0.9967479675
943,Mohammad Shahverdikondori,"Shahverdikondori, Mohammad",1,2018,2018:Silver,2018:138.5,2018:0.7668350168
945,Mohammad Sharifikiasari,"Sharifikiasari, Mohammad",1,2018,2018:Gold,2018:30,2018:0.9494949495
951,Soroush Taslimi,"Taslimi, Soroush",1,2017,2017:Bronze,2017:163,2017:0.7349593496
959,Mojtaba Zareh Bidaki,"Zareh Bidaki, Mojtaba",1,2015,2015:Gold,2015:34,2015:0.9410745234
